patient_zip3,population,density,age_median,age_60s,age_70s,married,never_married,family_size,income_household_median,income_household_10_to_15,income_household_75_to_100,income_household_100_to_150,income_household_150_over,income_household_six_figure,income_individual_median,home_ownership,housing_units,rent_median,rent_burden,education_less_highschool,education_highschool,education_bachelors,education_college_or_above,labor_force_participation,unemployment_rate,self_employed,farmer,race_white,race_other,race_multiple,hispanic,disabled,poverty,limited_english,veteran,Ozone
115,18705.3,2382.8525,40.646154,12.192308,7.328205,51.287179,34.830769,3.426053,132837.4722,1.715789,10.2,18.231579,41.921053,60.152632,50933.10256,80.331579,6067.775,2117.628571,36.258824,7.45641,19.466667,27.225641,51.220513,63.371795,4.861538,16.252632,0,68.812821,6.669231,5.54359,16.084615,8.517949,5.621053,4.723684,3.394872,38.077885
116,27159.4,6149.24,41.04,12.84,7.12,42.36,39.64,3.55,74950.6,4.2,10.94,16.1,22.2,38.3,40010.0,51.4,8931.8,1232.4,33.975,13.82,24.58,20.06,36.6,57.18,7.58,12.48,0,58.44,5.94,6.58,20.24,12.58,14.58,8.34,3.42,38.251989
117,20525.0,1218.842857,42.571429,12.776623,7.244156,52.724675,32.184416,3.432632,128029.1711,1.789474,10.676316,20.661842,39.609211,60.271053,51376.06494,84.764474,6682.662338,2060.042857,37.348438,6.893506,22.884416,23.693506,45.01039,65.668831,4.631169,12.156579,0,79.484416,3.890909,5.337662,14.253247,9.106494,5.211842,2.168421,4.503896,39.043346
118,25253.33333,1630.233333,43.166667,13.4,7.033333,61.766667,26.566667,3.426667,147666.6667,1.633333,9.666667,17,47.933333,64.933333,54322.66667,90.366667,8241.0,2260,60.95,4.3,18.966667,30.766667,58.366667,65.2,3.166667,14.8,0,70.8,2.0,4.166667,6.633333,9.266667,3.433333,4,2.8,38.686512
119,6194.590909,266.975,49.835714,16.195238,13.647619,52.45,28.595238,2.930488,106323.641,2.858537,10.726829,18.497561,31.729268,50.226829,57914.56098,83.404878,2308.704545,1968.142857,39.341667,5.6,23.090476,26.230952,48.211905,57.888095,3.783333,16.8,0.004545,87.371429,1.866667,3.947619,10.547619,10.37381,8.065854,1.860976,6.57619,39.608824
120,5112.242424,103.906061,46.295385,15.35303,10.381818,49.777273,29.381818,2.994769,77948.81967,4.028788,14.737879,17.909091,16.865152,34.774242,39593.14286,79.690909,2046.560606,1015.38,33.097619,7.289394,31.85,15.848485,30.85,60.090909,4.507692,9.370492,0.704918,91.075758,0.906061,4.374242,3.724242,12.765152,8.524242,0.640909,8.940909,38.897024
121,4183.102941,129.991176,46.40597,15.875,10.226471,49.813235,28.614706,3.062985,76344.5,3.191176,15.044118,18.642647,15.601471,34.244118,39317.92188,77.332353,1737.485294,955.5,27.019512,7.577941,29.547059,16.216176,30.139706,61.286765,4.210294,9.412308,0.441538,93.060294,0.980882,3.217647,3.672059,13.920588,7.898529,0.670588,7.560294,38.841811
122,12947.75,1662.475,33.427273,10.536364,5.354545,28.845455,54.172727,2.964,62101.3,5.52,11.64,16.04,12.93,28.97,31787.72727,43.46,5399.833333,1042.222222,31.466667,9.145455,20.554545,22.581818,42.372727,63.581818,7.309091,8.19,0,56.263636,2.990909,6.6,9.709091,12.409091,19.37,3.75,4.054545,39.447271
123,20914.875,1440.825,38.65,12.45,7.3,38.625,40.5,3.25375,65336.875,6.7375,11.8375,17.5,13.075,30.575,35044.75,56.025,8135.0,1021.5,33.6875,11.2,27.0125,17.75,30.9,62.025,8.25,8.475,0.05,67.9125,4.5375,8.2375,8.9625,13.2,15.2,2.3,6.2875,38.773826
124,1850.914634,84.817073,51.89125,18.420988,13.259259,47.830864,27.761728,2.980256,68781.19118,3.875309,13.750617,16.358025,13.564198,29.922222,36529.53521,80.814815,760.548781,1080.7,35.965517,7.282716,30.680247,16.88642,34.777778,58.393827,5.035,11.855696,0.026582,88.967901,2.106173,5.574074,6.246914,15.87037,12.674074,1.260494,7.08642,39.407551
125,7149.142857,159.811111,45.257377,13.952381,8.209524,50.903175,32.371429,3.103871,89919.39655,2.595238,11.579365,18.414286,26.492063,44.906349,39705.73333,74.479365,2621.460317,1280.886792,31.341176,7.806349,28.063492,21.385714,39.184127,61.41746,4.659677,12.638983,0.172881,83.538095,3.236508,5.346032,9.939683,12.719048,8.312698,1.463492,5.630159,39.263883
126,28780.0,1837.1,33.366667,8.066667,4.533333,28.8,58.5,3.085,72792.5,4.7,11,16.65,20,36.65,25317.0,56.8,11168.66667,1312,35.3,6.333333,17.0,14.866667,26.5,60.966667,6.066667,9.4,0,64.266667,4.4,7.1,12.666667,10.566667,11.9,3.2,3.966667,39.048189
127,1679.271186,43.515254,46.282456,15.659322,10.654237,48.716949,28.513559,3.127719,68465.44681,5.572881,15.857627,13.545763,13.733898,27.279661,35245.83019,75.90678,625.440678,1066.727273,30.265385,9.269492,35.530508,14.886441,27.186441,57.310169,6.305085,8.611538,0.2,84.281356,3.335593,4.518644,10.411864,15.833898,13.589831,1.947458,7.410169,39.23537
128,3520.292308,80.715385,48.936508,17.693846,10.501538,58.709231,24.033846,2.786154,75892.22034,3.193846,13.712308,20.938462,14.996923,35.935385,38263.53333,81.472308,1474.938462,949.886364,27.259459,8.815385,31.624615,16.756923,31.104615,59.595385,5.292308,8.669643,0.383929,94.258462,0.453846,2.68,2.083077,14.618462,8.063077,0.276923,7.901538,37.920104
129,2174.972222,57.108333,46.404225,15.746479,9.484507,52.909859,28.188732,2.712429,61795.21538,3.778571,14.98,15.57,8.852857,24.422857,33397.89855,80.047143,869.722222,859.645833,31.761111,11.2,35.176056,14.038028,25.233803,55.064789,5.064286,8.185937,1.8875,91.049296,2.498592,2.422535,2.756338,15.044286,11.631429,0.24,7.701408,38.722776
130,7748.32,445.808,44.483673,15.928,8.62,51.74,29.986,2.904792,75622.80851,2.604082,15.191837,21.783673,14.906122,36.689796,37106.5102,82.365306,3120.46,907.439024,27.243243,7.89,31.85,15.4,27.094,62.762,4.714286,9.976596,1.321277,91.95,0.676,3.774,2.432,13.242857,9.420408,0.487755,9.028,39.119545
131,3395.72549,135.292157,43.908333,13.783333,8.38125,49.141667,31.31875,3.04617,66010.84091,3.104167,14.870833,17.152083,10.404167,27.55625,33631.12766,81.464583,1349.627451,848.131579,28.151429,9.35625,39.36875,13.129167,22.422917,62.56875,6.383333,8.070455,1.361364,93.116667,0.720833,4.11875,2.00625,15.26875,10.3625,0.304167,8.797917,39.064962
132,13594.47059,1606.823529,36.325,11.5,6.36875,33.84375,47.30625,3.108,53991.06667,8.41875,10.7,12.7125,9.18125,21.89375,29026.125,51.54375,5362.647059,894.066667,33.38,11.3875,25.86875,21.4875,36.025,58.225,8.26875,9.3,0.04,64.98125,2.25625,6.28125,7.9625,14.14375,24.95,3.625,5.3625,38.827042
133,2618.509434,40.796226,43.701887,17.237736,8.877358,56.901887,25.9,3.378491,65705.04,2.998113,15.716981,15.520755,9.903774,25.424528,34248.56863,81.533962,1022.698113,810.5,24.458333,8.59434,33.896226,13.401887,23.998113,62.609434,4.524528,9.39375,2.239583,95.120755,0.467925,3.060377,2.149057,12.749057,8.832075,0.524528,8.866038,38.559626
134,2879.241935,85.767742,44.465574,14.104918,10.0,48.167213,30.634426,2.961967,63600.07143,3.119672,16.034426,15.178689,9.144262,24.322951,32082.83333,78.360656,1127.709677,765.95,25.163889,9.014754,37.695082,13.093443,23.352459,59.086885,4.134426,8.119608,1.778431,94.885246,0.832787,1.688525,2.24918,13.655738,9.959016,1.108197,8.927869,38.835924
135,37146.5,1007.55,35.55,10.25,6.3,38.5,43.25,3.38,47562,7.1,10.3,12.65,6.9,19.55,26628.0,56.55,13949.5,787,34.3,17.25,30.8,12.75,21.55,57.45,6.6,9.6,0.1,65.7,3.6,7.5,11.35,14.7,24.8,6,5.8,39.554202
136,2817.698795,95.314458,43.22,15.482716,9.018519,52.583951,28.27284,2.905128,60041.55072,4.181013,13.83038,14.901266,7.888608,22.789873,32498.64935,75.620253,1079.891566,839.303571,28.942857,8.071605,38.897531,12.280247,22.619753,53.97284,6.624051,6.642647,1.808824,92.583951,0.567901,3.055556,2.669136,15.95,15.339241,0.482278,12.254321,37.814285
137,3379.179487,41.169231,47.376316,17.641026,9.564103,51.115385,26.797436,2.843947,61132.69444,3.374359,12.320513,13.994872,9.54359,23.538462,32443.0,81.946154,1437.974359,800.8,29.685185,10.492308,36.364103,11.141026,20.674359,57.507692,6.626316,11.5,1.245714,94.979487,0.646154,2.187179,2.3,17.469231,13.487179,0.45641,7.784615,39.554796
138,3300.829268,39.278049,43.7475,15.463415,7.956098,47.926829,28.414634,2.9615,60653,6.321951,14.458537,15.441463,7.182927,22.62439,30890.36842,80.302439,1332.780488,809.1,28.846154,8.953659,39.995122,11.582927,22.031707,54.597561,4.9175,8.655882,1.417647,93.885366,1.092683,2.490244,2.217073,17.853659,13.121951,0.417073,8.582927,39.573254
139,16473.4,898.76,36.02,10.88,5.7,31.08,51.92,3.07,49637.75,6.825,11.45,12.825,8.75,21.575,22508.4,57.9,6313.0,753.75,32.775,9.7,24.34,11.78,21.78,49.68,10.62,9.16,0,79.84,1.66,4.56,5.56,14.7,23.175,1.425,5.04,39.583541
140,7373.672131,126.463934,45.103279,15.985246,7.670492,51.768852,28.408197,2.93459,70151.08772,3.527869,16.139344,16.319672,13.219672,29.539344,35603.86667,81.154098,3026.213115,880.255319,29.386957,8.940984,34.47541,14.359016,24.808197,61.231148,4.895082,8.974545,1.378182,91.670492,1.031148,3.306557,2.75082,13.5,9.404918,0.747541,7.562295,40.353886
141,5643.771429,219.362857,45.18,15.685714,9.445714,51.322857,30.831429,2.908788,71005.1,3.588235,14.5,19.488235,11.4,30.888235,35780.84375,83.873529,2368.942857,794.625,26.647059,8.3,36.882857,15.874286,25.74,60.934286,3.882857,7.070968,1.645161,93.528571,1.0,3.262857,2.465714,13.717143,8.888235,0.638235,7.745714,40.107248
142,20195.27586,2191.962069,36.468966,11.527586,5.896552,31.751724,49.472414,2.997778,52009.92593,7.407407,11.648148,12.074074,9.114815,21.188889,28834.55172,51.066667,8685.862069,878.037037,33.144444,10.155172,24.624138,19.658621,36.77931,59.52069,6.175862,8.218519,0,62.027586,4.189655,4.924138,9.637931,14.831034,20.966667,3.622222,5.644828,40.064216
143,12845.2,2174.78,47.68,11.52,6.8,28.0,43.84,2.965,34579.6,9.62,8.9,6.48,5.22,11.7,27169.5,45.42,5682.4,678.8,78.94,14.52,43.56,9.7,15.92,45.76,8.05,4.38,0,64.16,1.14,6.06,5.68,34.48,37.82,1.06,5.68,40.134116
144,6736.0,115.393333,43.213636,15.311364,7.922727,51.909091,28.547727,2.921591,70228.86047,3.163636,17.590909,16.959091,11.970455,28.929545,35198.72093,77.877273,2690.244444,873.540541,29.045455,8.161364,32.670455,16.938636,28.822727,63.611364,5.275,9.2775,1.195,93.395455,0.743182,2.720455,2.940909,12.520455,9.040909,0.640909,7.527273,39.327725
145,5886.410714,180.053571,46.92963,16.081481,9.512963,51.711111,28.187037,2.922075,68706.61224,3.430189,12.573585,18.4,10.309434,28.709434,35291.69811,80.867925,2361.571429,901.071429,30.110256,9.227778,33.940741,16.187037,26.903704,58.709259,4.70566,8.982,1.542,91.251852,1.327778,3.127778,3.811111,14.311111,10.725926,0.584906,7.455556,39.378488
146,19181.48,1922.568,36.520833,10.583333,6.325,33.1,48.829167,2.941739,56804.95652,6.421739,12.634783,12.991304,9.834783,22.826087,30793.04167,50.469565,8053.88,981.545455,34.395455,12.933333,24.3625,19.641667,34.4625,60.004167,9.270833,9.0875,0,62.504167,3.020833,5.391667,11.895833,15.8625,20.273913,4.673913,4.495833,38.667192
147,2751.403226,93.774194,43.455,14.662295,8.593443,50.516393,29.096721,2.983167,55030.12963,5.093333,13.336667,13.59,8.183333,21.773333,28485.77193,78.273333,1114.016129,706.382979,27.92439,12.44918,34.6,11.827869,22.57541,54.057377,8.322951,9.194643,2.108929,92.195082,1.319672,1.922951,2.713115,15.360656,15.957377,0.435,9.878689,40.736228
148,3795.77027,87.101351,43.123288,14.394521,9.720548,51.982192,29.535616,3.003056,61564.52174,3.913889,15.191667,15.451389,8.580556,24.031944,32248.50704,80.627778,1533.918919,845.861539,26.894737,9.427397,34.50137,13.439726,25.436986,58.415068,5.078082,8.87,3.361429,94.471233,0.519178,2.252055,1.658904,14.824658,12.9625,0.580556,9.312329,40.361957
149,11466.5,514.2,40.65,13.75,6.225,41.55,36.125,2.94,55296,6.875,13.375,14.3,8.075,22.375,29650.0,60.825,4587.0,861.25,33.7,11.55,31.9,13.05,24.625,59.625,7.625,7.775,0.15,84.25,0.875,5.825,4.7,15.3,18.8,0.45,7.9,39.975902
150,6383.901408,403.94507,46.667143,14.726761,9.453521,47.74507,30.804225,2.872754,64372.01587,4.540845,12.557746,16.083099,10.35493,26.438028,34544.19697,73.923944,2703.450704,829.290909,27.218,6.750704,38.090141,17.55493,26.919718,61.328169,5.559155,5.837313,0.258209,91.867606,0.412676,2.953521,1.829577,18.349296,12.730986,0.461972,7.907042,40.26411
151,13170.25,794.367857,43.685714,14.646429,8.353571,42.996429,36.907143,2.913333,63896.7037,4.818519,12.562963,14.722222,12.685185,27.407407,36634.11111,64.696296,5746.107143,897.037037,27.77037,5.171429,30.303571,21.592857,35.560714,63.553571,6.964286,9.088889,0,77.425,0.592857,4.817857,2.414286,15.010714,11.778571,0.462963,7.503571,40.288554
152,16113.60465,2043.676744,38.1,12.185366,7.026829,38.553659,43.607317,2.876923,67621.17949,4.615385,12.684615,15.153846,15.858974,31.012821,37670.35,58.320513,7203.209302,1015.794872,30.379487,7.873171,23.873171,24.543902,44.707317,64.67561,5.004878,10.897436,0,73.056098,0.84878,4.063415,2.646341,13.617073,14.8675,1.592308,5.712195,39.760418
153,3405.654545,242.812727,43.614545,16.798182,8.518182,52.521818,27.145455,2.942545,65096.94231,2.970909,13.952727,15.62,10.074545,25.694545,34327.2549,76.774545,1375.090909,834.210526,25.354839,10.118182,44.678182,13.147273,20.076364,56.756364,6.003636,5.425,2.15625,96.332727,0.278182,2.383636,0.772727,18.985455,9.621818,0.152727,7.88,40.130969
154,1957.014286,176.932857,45.078571,16.551429,9.095714,48.071429,29.094286,2.969429,57228.08772,8.097143,12.711429,13.561429,5.787143,19.348571,27291.54237,78.255714,807.857143,782.794872,27.671875,12.22,49.05,9.997143,15.542857,54.7,7.768571,4.812069,0.425862,91.461429,0.541429,3.191429,1.155714,21.134286,17.617143,0.468571,9.217143,40.330575
155,2309.216216,222.54054,45.991892,15.767568,8.343243,54.886486,25.586486,3.0125,54732.71875,5.547222,13.975,15.327778,5.730556,21.058333,27723.86111,83.027778,902.0,705.884615,28.765217,10.902703,47.681081,8.383784,14.945946,62.627027,4.555556,7.94375,2.75,95.632432,0.940541,1.237838,0.827027,16.169444,9.358333,0.363889,9.124324,40.400176
156,4204.194444,310.055556,47.108333,14.930556,9.708333,53.430556,26.779167,2.817083,64110.71875,4.1375,14.931944,16.627778,7.686111,24.313889,33541.2,79.593056,1793.722222,815.690476,24.488571,6.829167,43.433333,15.072222,22.166667,61.923611,3.916901,5.771875,0.220312,95.734722,0.177778,2.744444,0.872222,17.170833,9.461111,0.193056,8.204167,40.345162
157,1678.269841,171.857143,46.066129,14.642857,9.75873,52.125397,27.78254,3.009836,52790.84746,4.908065,13.604839,12.05,4.229032,16.279032,25279.13559,80.525806,659.984127,717.548387,23.344444,8.919048,53.844444,9.753968,14.363492,53.090476,5.532258,5.32973,1.256757,96.811111,0.344444,2.098413,0.91746,20.509524,12.467742,0.141935,8.88254,40.614271
158,2930.133333,85.136667,48.006667,15.796667,11.84,48.213333,25.38,2.91,51752.28571,3.88,12.733333,11.196667,4.976667,16.173333,27936.10345,82.406667,1222.133333,696.130435,28.116667,7.683333,53.96,9.36,13.79,58.446667,5.496667,6.736,0.404,96.616667,0.29,2.343333,0.823333,18.43,10.996667,0.123333,11.876667,40.849582
159,3177.348837,157.586047,45.238095,14.97619,8.37381,52.209524,28.895238,3.055952,55449.33333,4.704762,12.616667,16.435714,5.809524,22.245238,28762.82051,83.359524,1329.27907,716.733333,27.033333,9.045238,47.980952,12.530952,17.133333,54.652381,4.414286,5.43,0.265,96.188095,0.228571,1.478571,1.22381,20.414286,11.388095,0.261905,10.597619,40.21427
160,5812.628571,130.571429,44.674286,15.517143,8.034286,56.585714,26.257143,3.012571,70070.62857,3.794286,13.862857,18.757143,12.6,31.357143,34003.91429,78.985714,2355.457143,908.424242,25.643333,7.242857,41.082857,16.562857,25.354286,61.185714,5.334286,7.75,0.73125,96.408571,0.182857,2.208571,0.94,14.631429,9.74,0.208571,8.782857,40.167271
161,5038.0,240.938095,45.12381,14.797619,9.790476,50.230952,29.838095,2.978537,56489.875,4.254762,16.671429,13.469048,7.07619,20.545238,29397.64286,77.590476,2090.595238,740.783784,28.064706,9.17381,43.347619,14.969048,22.088095,57.540476,5.483333,7.902632,1.968421,93.77619,0.330952,2.380952,1.07619,18.361905,10.916667,0.528571,9.964286,40.032391
162,2193.538462,175.151282,44.341026,15.623077,8.371795,53.266667,26.238462,3.065128,53338.73684,4.102564,14.184615,11.307692,5.553846,16.861538,28122.18421,80.405128,835.51282,717.032258,25.146154,10.879487,52.387179,10.287179,14.846154,56.969231,4.935897,6.39697,1.839394,96.807692,0.14359,1.34359,0.664103,17.838462,11.820513,0.487179,8.789744,40.59117
163,3253.186047,35.374419,49.428571,18.609524,10.959524,52.335714,25.745238,2.900714,56950.45,5.042857,16.042857,13.680952,5.92619,19.607143,28648.5,80.564286,1347.860465,657.366667,25.286667,9.892857,50.159524,10.916667,15.890476,57.085714,5.711905,6.875,0.777778,97.269048,0.388095,1.407143,0.92619,18.75,12.054762,0.354762,9.983333,40.395443
164,3798.666667,129.369697,44.239394,14.248485,8.481818,52.627273,28.457576,3.057419,63428.90323,3.054839,14.9,15.248387,8.177419,23.425806,29479.90625,83.06129,1441.393939,741.653846,25.170833,11.128125,44.053125,13.19375,20.353125,57.3,6.05,9.217241,1.648276,93.533333,0.563636,3.184848,1.684848,15.1125,11.135484,0.509677,8.621212,40.421666
165,12980.21429,1380.407143,36.653846,12.2,5.730769,31.115385,49.8,3.01,47706.90909,8.336364,11.309091,11.172727,7.027273,18.2,23493.84615,54.6,5301.571429,774.545455,32.827273,10.05,33.083333,16.366667,33.016667,56.030769,7.130769,7.936364,0.036364,79.523077,1.692308,5.146154,5.246154,17.0,23.336364,2.4,6.215385,39.464307
166,3000.985075,304.91791,43.853846,13.157576,10.612121,52.092424,26.622727,3.070615,57025.71186,4.85,12.345455,15.512121,6.784848,22.29697,28658.13846,84.740909,1166.761194,741.891304,27.769231,10.065152,50.945455,10.804545,15.954545,54.656061,5.607692,6.565455,0.867273,95.768182,0.239394,1.890909,1.016667,18.271212,10.484848,0.187879,8.848485,40.358717
167,2060.545455,23.422727,46.445455,18.718182,7.877273,54.281818,25.854545,3.117273,53502.5,5.072727,16.804545,13.604545,4.827273,18.431818,30644.52381,78.259091,800.636364,715.133333,27.323077,6.181818,53.040909,12.122727,18.040909,55.318182,5.181818,5.577778,0.505556,93.436364,2.595455,2.109091,0.995455,17.672727,9.536364,0.168182,8.954545,40.869301
168,3648.163636,204.636364,44.087273,12.514545,9.141818,51.987273,28.034545,3.058,61204.11765,4.498182,11.707273,14.118182,8.798182,22.916364,31575.26415,82.043636,1348.381818,806,27.846667,11.296364,44.718182,14.581818,22.258182,60.778182,5.034545,6.964706,1.711765,95.274545,0.225455,1.950909,2.712727,16.076364,11.28,0.847273,7.867273,40.601598
169,1989.84375,37.115625,45.321875,15.565625,9.55625,56.78125,23.215625,3.089062,55224.68966,5.30625,14.578125,14.296875,6.421875,20.71875,27437.03125,80.253125,781.09375,756.851852,26.670833,10.303125,47.06875,10.465625,15.953125,55.44375,5.459375,10.784615,4.303846,97.40625,0.215625,1.403125,1.196875,18.3875,11.421875,0.2375,11.134375,40.580668
170,7538.534884,311.132558,42.423256,14.447674,8.033721,55.909302,27.15814,3.046235,68143.88608,2.990698,16.57093,15.744186,10.480233,26.224419,34677.95238,75.513953,2969.848837,850.875,25.083333,12.259302,43.609302,13.931395,20.731395,63.552326,3.622093,9.15,2.277632,92.918605,1.072093,3.243023,4.110465,13.463953,9.87907,1.073256,7.7,39.907645
171,18045.9,1472.46,36.488889,11.566667,6.444444,36.022222,42.155556,3.02,58446.88889,5.266667,12.288889,13.211111,9.344444,22.555556,34101.88889,49.5,7393.0,1013.222222,28.355556,10.633333,33.0,18.566667,29.022222,66.133333,5.577778,7.633333,0.022222,53.177778,3.244444,5.6,15.166667,13.844444,17.522222,4.522222,7.077778,39.386141
172,4299.897959,177.344898,45.383673,14.093878,10.228571,53.495918,25.187755,2.991064,62890.68889,3.74375,14.770833,17.570833,6.397917,23.96875,31289.1087,76.3625,1704.061224,838.833333,34.917647,16.077083,47.810417,9.895833,15.560417,57.828571,3.0875,6.1,3.017391,93.902041,0.481633,2.171429,2.408163,18.035417,10.720833,0.791667,8.710204,40.343266
173,7218.354167,279.904167,43.689583,14.322917,7.63125,54.891667,26.352083,3.00125,77876.83333,2.366667,17.110417,21.791667,12.9625,34.754167,37291.80851,79.847917,2817.8125,1004.977778,26.914634,9.441667,42.55625,15.397917,22.964583,67.352083,3.770833,8.809302,1.497674,93.235417,1.7375,2.90625,5.15,12.76875,6.016667,0.829167,7.497917,40.585456
174,26299.42857,1171.428571,38.028571,11.0,6.857143,46.657143,34.585714,3.15,69851.14286,3.971429,13.914286,16,15.314286,31.314286,33972.71429,67.171429,10052.57143,1155.428571,30.442857,11.057143,37.885714,17.042857,26.542857,65.4,6.242857,8.542857,0.157143,78.185714,3.328571,5.771429,13.7,13.857143,12.157143,2.371429,7.457143,39.662289
175,7335.744681,416.791489,39.180435,14.247826,8.05,61.715217,24.676087,3.286957,82910.14286,2.067391,16.058696,20.804348,13.902174,34.706522,35878.33333,72.023913,2713.595745,1062.135135,25.457143,22.095652,36.397826,12.697826,20.33913,68.147826,2.152174,11.759524,4.080952,90.895652,1.719565,2.765217,4.895652,10.206522,6.791304,2.032609,6.865217,39.471172
176,43641.25,1167.65,49.85,9.025,14.8,43.2,26.95,3.066667,72600.66667,2.35,11.1,13.7,11.325,25.025,31073.5,50.75,16969.75,1229,28.8,10.225,33.6,21.325,34.0,50.575,4.533333,8.35,0.275,79.475,5.1,5.5,16.625,19.325,17.675,4.1,7.075,39.523732
177,4142.3,57.6225,47.771795,15.7775,15.19,56.2925,24.185,2.862051,60290.79412,6.32,12.48,17.705,6.8575,24.5625,31234.07692,78.245,1637.35,789.758621,26.418519,10.08,47.625,12.545,18.94,56.09,5.607692,7.422581,1.9,95.3875,1.5975,1.6975,1.025,16.87,9.485,0.22,9.4375,39.810144
